n,key,year
12202,a,1130
12618,a,1131
11563,a,1132
7450,a,1133
6783,a,1134
10017,a,1135
10112,a,1136
10709,a,1137
10427,a,1138
9417,a,1139
6458,a,1140
6098,a,1141
8746,a,1142
9106,a,1143
8980,a,1144
8637,a,1145
7845,a,1146
5674,a,1147
5435,a,1148
6852,a,1149
6097,a,1150
8293,a,1151
8749,a,1152
7914,a,1153
6094,a,1154
5994,a,1155
8710,a,1156
9317,a,1157
9642,a,1158
9918,a,1159
9344,a,1160
7233,a,1161
6697,a,1162
5965,a,1163
10450,a,1164
11385,a,1165
12218,a,1166
12221,a,1167
9173,a,1168
9312,a,1169
12647,a,1170
13649,a,1171
14284,a,1172
14349,a,1173
13806,a,1174
9975,a,1175
9385,a,1176
12879,a,1177
13840,a,1178
14493,a,1179
14484,a,1180
13309,a,1181
9820,a,1182
9637,a,1183
12509,a,1184
13591,a,1185
14328,a,1186
14193,a,1187
13630,a,1188
10824,a,1189
10403,a,1190
12970,a,1191
13821,a,1192
14058,a,1193
14440,a,1194
14714,a,1195
11625,a,1196
10882,a,1197
13309,a,1198
14496,a,1199
14631,a,1200
15308,a,1201
14803,a,1202
11760,a,1203
11098,a,1204
13438,a,1205
13799,a,1206
14226,a,1207
10495,a,1208
11678,a,1209
9810,a,1210
9731,a,1211
13046,a,1212
11458,a,1213
6377,a,1214
12430,a,1215
13476,a,1216
11122,a,1217
10882,a,1218
12353,a,1219
13439,a,1220
13972,a,1221
14460,a,1222
14379,a,1223
11424,a,1224
9489,a,1225
12661,a,1226
13656,a,1227
10567,a,1228
12852,a,1229
13200,a,1230
8775,a,1231
8856,a,1232
10898,a,1233
11929,a,1234
11680,a,1235
7430,a,1236
10278,a,1237
8763,a,1238
8263,a,1239
10474,a,1240
11162,a,1241
11354,a,1242
11935,a,1243
12023,a,1244
9916,a,1245
8634,a,1246
11034,a,1247
11734,a,1248
11873,a,1249
12235,a,1250
12445,a,1251
9475,a,1252
7739,a,1253
9738,a,1254
6836,a,1255
10622,a,1256
10314,a,1257
9667,a,1258
6815,a,1259
6231,a,1260
8784,a,1261
9336,a,1262
6142,a,1263
7242,a,1264
5321,a,1265
6144,a,1266
4722,a,1267
7599,a,1268
9315,a,1269
9439,a,1270
9887,a,1271
